quarterHour;ez2_0;ez2_1;ez2_2;ez2_3;ez2_4;ez2_5;ez2_6;ez2_7;ez2_8;ez2_9;ez2_10;ez2_11;ez2_12;ez2_13;ez2_14;ez2_15;ez2_16;ez2_17;ez2_18;ez2_19;ez2_20;ez2_21;ez2_22;ez2_23;ez2_24;ez2_25;ez2_26;ez2_27;ez2_28;ez2_29;ez2_30;ez2_31;ez2_32;ez2_33;ez2_34;ep1_1;ep1_2;ep1_3;ep1_4;ep1_5;ep1_6;ep1_7;ep1_8;ep1_9;ep1_10;ep1_11;ep1_12;ep1_13;ep1_14;ep1_15;ep1_16;ep1_17;ep1_18;ep1_19;ep1_20;ep1_21;ep1_22;ep1_23;ep1_24;ep1_25;ep1_26;ep1_27;ep1_28;ep1_29;ep1_30;ep1_31;ep1_32;ep1_33
11;0;0,122131957;0,244253538;0,348819271;0,453072746;0,492834867;0,574142296;0,649972617;0,723324965;0,82314475;1,001218396;1,092858262;1,196483734;1,283850435;1,388880812;1,480893611;1,557111564;1,635193948;1,711201501;1,798633484;1,860186662;1,920272915;2,022205686;2,094027194;2,173681153;2,254715465;2,325930539;2,416092455;2,4978992;2,602443159;2,643401163;2,719770743;2,840998692;2,900405281;2,986979085;0,042250779;0,084501557;0,127235835;0,170292433;0,213671396;0,257372744;0,301396473;0,345742627;0,390411113;0,435402011;0,480715372;0,526351163;0,572309387;0,618590141;0,665193342;0,712119047;0,759367267;0,806937974;0,854831243;0,903046936;0,951585379;1,000446248;1,049629773;1,099135823;1,148964529;1,199115862;1,249589857;1,300386365;1,351505622;1,402947529;1,454712097;1,506799287;1,553886815
12;0;0,118537437;0,235438315;0,336619029;0,421010203;0,493790904;0,579088517;0,661584776;0,746468929;0,847756619;1,009034228;1,098086314;1,203056163;1,300772414;1,392579323;1,485711234;1,560837833;1,641372548;1,706959488;1,801677114;1,879023046;1,927608262;2,035307698;2,118498592;2,201879018;2,277483177;2,332996698;2,431014301;2,473450051;2,604267954;2,644839031;2,68375792;2,841552145;2,901626547;2,941807841;0,042250779;0,084501557;0,127235835;0,170292433;0,213671396;0,257372744;0,301396473;0,345742627;0,390411113;0,435402011;0,480715372;0,526351163;0,572309387;0,618590141;0,665193342;0,712119047;0,759367267;0,806937974;0,854831243;0,903046936;0,951585379;1,000446248;1,049629773;1,099135823;1,148964529;1,199115862;1,249589857;1,300386365;1,351505622;1,402947529;1,454712097;1,506799287;1,553886815
13;0;0,114942928;0,226736792;0,325474784;0,414514069;0,499974685;0,591602867;0,675979783;0,77259666;0,877509436;1,02498241;1,112305538;1,213215528;1,30941548;1,40054308;1,482557513;1,564498992;1,640316892;1,711909348;1,797993235;1,888690544;1,945716028;2,052732002;2,121832312;2,217993795;2,283275539;2,341001621;2,431470343;2,468135552;2,602157034;2,644452389;2,683090168;2,842735913;2,902848095;2,943052662;0,042250779;0,084501557;0,127235835;0,170292433;0,213671396;0,257372744;0,301396473;0,345742627;0,390411113;0,435402011;0,480715372;0,526351163;0,572309387;0,618590141;0,665193342;0,712119047;0,759367267;0,806937974;0,854831243;0,903046936;0,951585379;1,000446248;1,049629773;1,099135823;1,148964529;1,199115862;1,249589857;1,300386365;1,351505622;1,402947529;1,454712097;1,506799287;1,553886815
14;0;0,112408327;0,220122047;0,321713833;0,456310637;0,51136125;0,604787234;0,692814569;0,804159544;0,938588769;1,036802682;1,124613708;1,226573976;1,319927662;1,40146648;1,484346778;1,568420327;1,641467888;1,722141201;1,796222137;1,899701648;1,949741979;2,064143007;2,128160189;2,216767755;2,279401427;2,341043326;2,432206131;2,462068879;2,602434952;2,644729506;2,68176855;2,841783008;2,90406936;2,944313742;0,042250779;0,084501557;0,127235835;0,170292433;0,213671396;0,257372744;0,301396473;0,345742627;0,390411113;0,435402011;0,480715372;0,526351163;0,572309387;0,618590141;0,665193342;0,712119047;0,759367267;0,806937974;0,854831243;0,903046936;0,951585379;1,000446248;1,049629773;1,099135823;1,148964529;1,199115862;1,249589857;1,300386365;1,351505622;1,402947529;1,454712097;1,506799287;1,553886815
15;0;0,12329264;0,237701965;0,352777511;0,449550033;0,589947449;0,661271388;0,753540186;0,877961199;1,00046745;1,100959486;1,194241049;1,279105731;1,367791086;1,447322719;1,532790886;1,60821809;1,696768134;1,772331646;1,846100562;1,951491419;2,005409147;2,119217437;2,166553923;2,260774353;2,316463581;2,383551403;2,481235014;2,517606012;2,670838395;2,722202922;2,761081146;2,922752157;2,986563585;3,037294199;0,042250779;0,084501557;0,127235835;0,170292433;0,213671396;0,257372744;0,301396473;0,345742627;0,390411113;0,435402011;0,480715372;0,526351163;0,572309387;0,618590141;0,665193342;0,712119047;0,759367267;0,806937974;0,854831243;0,903046936;0,951585379;1,000446248;1,049629773;1,099135823;1,148964529;1,199115862;1,249589857;1,300386365;1,351505622;1,402947529;1,454712097;1,506799287;1,553886815
16;0;0,1298491;0,251842277;0,379132188;0,456487814;0,592769576;0,724219314;0,816418371;0,962858845;1,055393165;1,149667303;1,238699366;1,325615223;1,40194478;1,479842082;1,57099618;1,645364202;1,721797246;1,792660964;1,875535553;1,960957921;2,015976101;2,117132073;2,16671795;2,247150527;2,299689899;2,366102333;2,459998715;2,507084311;2,690234953;2,771537335;2,811062615;2,974643539;3,03056844;3,094157743;0,042250779;0,084501557;0,127235835;0,170292433;0,213671396;0,257372744;0,301396473;0,345742627;0,390411113;0,435402011;0,480715372;0,526351163;0,572309387;0,618590141;0,665193342;0,712119047;0,759367267;0,806937974;0,854831243;0,903046936;0,951585379;1,000446248;1,049629773;1,099135823;1,148964529;1,199115862;1,249589857;1,300386365;1,351505622;1,402947529;1,454712097;1,506799287;1,553886815
17;0;0,10515806;0,225684675;0,381332856;0,465555373;0,609556548;0,733153773;0,84449775;0,975412509;1,068905008;1,160350929;1,249229331;1,314052749;1,389144914;1,46536243;1,557284844;1,630827038;1,712804738;1,772366642;1,848778429;1,933991805;2,027537599;2,111952052;2,160721434;2,248430881;2,292915071;2,381638089;2,456469533;2,507291281;2,691038071;2,766937809;2,814920249;2,975466566;3,02944301;3,093025595;0,042250779;0,084501557;0,127235835;0,170292433;0,213671396;0,257372744;0,301396473;0,345742627;0,390411113;0,435402011;0,480715372;0,526351163;0,572309387;0,618590141;0,665193342;0,712119047;0,759367267;0,806937974;0,854831243;0,903046936;0,951585379;1,000446248;1,049629773;1,099135823;1,148964529;1,199115862;1,249589857;1,300386365;1,351505622;1,402947529;1,454712097;1,506799287;1,553886815
18;0;0,102689544;0,213727265;0,336475035;0,475043473;0,6296408;0,75787809;0,874306891;1,000706675;1,091959739;1,172381786;1,248416848;1,309583569;1,383444981;1,45741354;1,540499031;1,629027128;1,762408955;1,745796401;1,828561296;1,904107246;2,014099816;2,061703641;2,128320248;2,227608828;2,272526298;2,341965947;2,420988953;2,491834162;2,559390454;2,753713003;2,815387731;2,894840766;3,018605692;3,088917174;0,042250779;0,084501557;0,127235835;0,170292433;0,213671396;0,257372744;0,301396473;0,345742627;0,390411113;0,435402011;0,480715372;0,526351163;0,572309387;0,618590141;0,665193342;0,712119047;0,759367267;0,806937974;0,854831243;0,903046936;0,951585379;1,000446248;1,049629773;1,099135823;1,148964529;1,199115862;1,249589857;1,300386365;1,351505622;1,402947529;1,454712097;1,506799287;1,553886815
19;0;0,107718839;0,202272852;0,302433454;0,45479504;0,620095126;0,760229301;0,870867781;0,994229252;1,081865783;1,160760321;1,216261701;1,275740481;1,344935776;1,416130993;1,578316671;1,636479275;1,694618217;1,777337577;1,838010026;1,940544465;2,002038809;2,046652451;2,108578123;2,200592541;2,264277638;2,33395053;2,415218826;2,474051353;2,532252122;2,709062875;2,76012646;2,834816451;2,972884281;3,047803292;0,042250779;0,084501557;0,127235835;0,170292433;0,213671396;0,257372744;0,301396473;0,345742627;0,390411113;0,435402011;0,480715372;0,526351163;0,572309387;0,618590141;0,665193342;0,712119047;0,759367267;0,806937974;0,854831243;0,903046936;0,951585379;1,000446248;1,049629773;1,099135823;1,148964529;1,199115862;1,249589857;1,300386365;1,351505622;1,402947529;1,454712097;1,506799287;1,553886815
20;0;0,026170251;0,062740606;0,132424423;0,270811435;0,448931605;0,565839323;0,697519807;0,804004285;0,874187169;0,940669377;0,995486406;1,053526524;1,116685059;1,187436311;1,292551362;1,394857547;1,438855525;1,513711742;1,574255202;1,678084829;1,737247897;1,778791503;1,837281815;1,924113103;1,974019986;2,059964131;2,124722574;2,197171238;2,242646431;2,412653519;2,489021853;2,550423557;2,689078285;2,756123046;0,042250779;0,084501557;0,127235835;0,170292433;0,213671396;0,257372744;0,301396473;0,345742627;0,390411113;0,435402011;0,480715372;0,526351163;0,572309387;0,618590141;0,665193342;0,712119047;0,759367267;0,806937974;0,854831243;0,903046936;0,951585379;1,000446248;1,049629773;1,099135823;1,148964529;1,199115862;1,249589857;1,300386365;1,351505622;1,402947529;1,454712097;1,506799287;1,553886815
21;0;0,051609211;0,150206611;0,168510468;0,322697047;0,464375607;0,607127662;0,730946581;0,842550783;0,917183369;0,972721792;1,032389053;1,086051836;1,144948233;1,196460627;1,258204297;1,393569929;1,415998503;1,504634353;1,556247274;1,668266421;1,73682236;1,772355979;1,829518303;1,915277758;1,966851291;2,055447084;2,117287243;2,191001354;2,263431349;2,433579517;2,529074525;2,582480659;2,725088091;2,791227616;0,042250779;0,084501557;0,127235835;0,170292433;0,213671396;0,257372744;0,301396473;0,345742627;0,390411113;0,435402011;0,480715372;0,526351163;0,572309387;0,618590141;0,665193342;0,712119047;0,759367267;0,806937974;0,854831243;0,903046936;0,951585379;1,000446248;1,049629773;1,099135823;1,148964529;1,199115862;1,249589857;1,300386365;1,351505622;1,402947529;1,454712097;1,506799287;1,553886815
22;0;0,099421285;0,22539663;0,25758683;0,354239124;0,542868875;0,679742407;0,79189984;0,90979112;0,969739844;1,025013518;1,072121413;1,124532714;1,173660665;1,223472686;1,27731305;1,328581744;1,416723141;1,511782171;1,560762445;1,625328992;1,763357285;1,786723616;1,847137599;1,924612438;1,97269327;2,072168336;2,128050546;2,199640037;2,299031961;2,455922193;2,574828096;2,619421224;2,771246839;2,834502533;0,042250779;0,084501557;0,127235835;0,170292433;0,213671396;0,257372744;0,301396473;0,345742627;0,390411113;0,435402011;0,480715372;0,526351163;0,572309387;0,618590141;0,665193342;0,712119047;0,759367267;0,806937974;0,854831243;0,903046936;0,951585379;1,000446248;1,049629773;1,099135823;1,148964529;1,199115862;1,249589857;1,300386365;1,351505622;1,402947529;1,454712097;1,506799287;1,553886815
23;0;0,058807013;0,160896841;0,240518317;0,327010485;0,491174498;0,542334173;0,639372098;0,736745088;0,809817929;0,859321684;0,901434176;0,943761546;0,988101485;1,034978662;1,074120663;1,115038741;1,193238556;1,269332572;1,345493377;1,399192604;1,526869126;1,557094472;1,611923432;1,671460649;1,714694813;1,741686837;1,829346616;1,893277725;2,004571454;2,174520324;2,223947021;2,311970808;2,470760957;2,529724001;0,042250779;0,084501557;0,127235835;0,170292433;0,213671396;0,257372744;0,301396473;0,345742627;0,390411113;0,435402011;0,480715372;0,526351163;0,572309387;0,618590141;0,665193342;0,712119047;0,759367267;0,806937974;0,854831243;0,903046936;0,951585379;1,000446248;1,049629773;1,099135823;1,148964529;1,199115862;1,249589857;1,300386365;1,351505622;1,402947529;1,454712097;1,506799287;1,553886815
24;0;0,033522358;0,10726879;0,203702279;0,249279793;0,323536205;0,404069771;0,497502713;0,540833971;0,603802479;0,655800883;0,688931757;0,718967298;0,759878879;0,790094623;0,823886754;0,856043659;0,922194874;0,983015802;1,031286868;1,073069943;1,168903768;1,22475892;1,275942878;1,345557005;1,385712044;1,404886503;1,437095921;1,497335664;1,538864771;1,690103496;1,738310141;1,772467141;1,947005119;1,99784828;0,042250779;0,084501557;0,127235835;0,170292433;0,213671396;0,257372744;0,301396473;0,345742627;0,390411113;0,435402011;0,480715372;0,526351163;0,572309387;0,618590141;0,665193342;0,712119047;0,759367267;0,806937974;0,854831243;0,903046936;0,951585379;1,000446248;1,049629773;1,099135823;1,148964529;1,199115862;1,249589857;1,300386365;1,351505622;1,402947529;1,454712097;1,506799287;1,553886815
25;0;0,06794682;0,133821155;0,229949114;0,241141979;0,308076754;0,393343882;0,470658997;0,517576288;0,574217489;0,635375118;0,667906897;0,70387874;0,733900101;0,769138116;0,806175195;0,841482452;0,910659936;0,955832682;1,015997223;1,042353534;1,125723539;1,193403533;1,228228168;1,255372214;1,321599928;1,35094065;1,372445964;1,429546452;1,462657188;1,520777159;1,664492895;1,695963489;1,733734558;1,897722085;0,042250779;0,084501557;0,127235835;0,170292433;0,213671396;0,257372744;0,301396473;0,345742627;0,390411113;0,435402011;0,480715372;0,526351163;0,572309387;0,618590141;0,665193342;0,712119047;0,759367267;0,806937974;0,854831243;0,903046936;0,951585379;1,000446248;1,049629773;1,099135823;1,148964529;1,199115862;1,249589857;1,300386365;1,351505622;1,402947529;1,454712097;1,506799287;1,553886815
26;0;0,044857038;0,100557841;0,166797634;0,195601014;0,28161431;0,34937323;0,39941566;0,401623767;0,456677701;0,520174638;0,551974367;0,574995475;0,601167529;0,626797984;0,663448304;0,694223374;0,752577365;0,793288105;0,846872099;0,872377088;0,940000382;1,03031017;1,065898217;1,085183558;1,118765956;1,152582089;1,165594347;1,21487512;1,242300592;1,282805226;1,411830239;1,437775762;1,489383072;1,62531274;0,042250779;0,084501557;0,127235835;0,170292433;0,213671396;0,257372744;0,301396473;0,345742627;0,390411113;0,435402011;0,480715372;0,526351163;0,572309387;0,618590141;0,665193342;0,712119047;0,759367267;0,806937974;0,854831243;0,903046936;0,951585379;1,000446248;1,049629773;1,099135823;1,148964529;1,199115862;1,249589857;1,300386365;1,351505622;1,402947529;1,454712097;1,506799287;1,553886815
27;0;0,025057322;0,0685923;0,151477787;0,202783892;0,195212804;0,230765738;0,293245901;0,319781379;0,360816625;0,432884614;0,453002517;0,475817426;0,495100807;0,514533398;0,549276522;0,575795864;0,626797158;0,659877814;0,708855258;0,736301887;0,793018798;0,900840935;0,937575331;0,95039712;0,971652324;0,996469538;1,007906611;1,042669813;1,073405984;1,105398692;1,232123055;1,254950557;1,3171206;1,444923995;0,042250779;0,084501557;0,127235835;0,170292433;0,213671396;0,257372744;0,301396473;0,345742627;0,390411113;0,435402011;0,480715372;0,526351163;0,572309387;0,618590141;0,665193342;0,712119047;0,759367267;0,806937974;0,854831243;0,903046936;0,951585379;1,000446248;1,049629773;1,099135823;1,148964529;1,199115862;1,249589857;1,300386365;1,351505622;1,402947529;1,454712097;1,506799287;1,553886815
28;0;0,024614202;0,054885691;0,14707617;0,149079287;0,148733496;0,202314973;0,203211736;0,228940588;0,258977658;0,293169951;0,387327408;0,405005387;0,423707669;0,441202528;0,472548462;0,498988119;0,540554027;0,567640033;0,613600848;0,644062219;0,69675753;0,690959585;0,725380856;0,742755858;0,770576215;0,792243095;0,803015719;0,901322099;0,933594519;0,959821528;0,995543133;1,017181419;1,044005201;1,111727668;0,042250779;0,084501557;0,127235835;0,170292433;0,213671396;0,257372744;0,301396473;0,345742627;0,390411113;0,435402011;0,480715372;0,526351163;0,572309387;0,618590141;0,665193342;0,712119047;0,759367267;0,806937974;0,854831243;0,903046936;0,951585379;1,000446248;1,049629773;1,099135823;1,148964529;1,199115862;1,249589857;1,300386365;1,351505622;1,402947529;1,454712097;1,506799287;1,553886815
29;0;0,014513459;0,032346396;0,063508211;0,135407934;0,147346296;0,130696848;0,146414842;0,146861457;0,163867567;0,164295637;0,21588363;0,223841803;0,219216001;0,210785359;0,222084692;0,239764296;0,255381444;0,269214479;0,338833888;0,38093387;0,41382667;0,406775249;0,421548271;0,458177032;0,492448972;0,531275896;0,540045169;0,580926745;0,610225251;0,649397158;0,669743622;0,690639243;0,703622313;0,763801724;0,004501021;0,009002042;0,013559746;0,018155214;0,022788474;0,027459516;0,032168351;0,036914958;0,041699351;0,046521537;0,051381542;0,056279296;0,061214868;0,066188261;0,071199411;0,076248381;0,081335152;0,086459705;0,091622083;0,096822256;0,102060215;0,107336006;0,11264961;0,11800102;0,123390228;0,128817267;0,134282106;0,139784764;0,145325264;0,150903564;0,156519666;0,162173673;0,167241631
30;0;0,014428561;0,036381161;0,049495894;0,10301414;0,095183829;0,103011547;0,087767877;0,10316256;0,111246682;0,11612254;0,12024181;0,124086135;0,128100152;0,132024667;0,136295951;0,148997015;0,157445106;0,164470311;0,183304013;0,211884365;0,220906402;0,228802061;0,237852921;0,271026337;0,288249838;0,338004832;0,355446603;0,361647914;0,402685821;0,435552956;0,479925357;0,493888883;0,500288916;0,553154659;0,003284839;0,00656968;0,009897445;0,013253823;0,016638812;0,020052415;0,023494635;0,026965477;0,030464941;0,033993004;0,037549715;0,041135043;0,044748979;0,048391538;0,052062742;0,055762571;0,059491026;0,063248098;0,067033808;0,070848173;0,07469111;0,078562741;0,082462979;0,086391862;0,090349374;0,094335543;0,098350315;0,102393739;0,106465834;0,11056654;0,114695888;0,118853922;0,122568105
31;0;0,004520398;0,010392547;0,015793059;0,04475936;0,071541825;0,056565346;0,07089078;0,053677199;0,061804857;0,064442566;0,066650748;0,068899632;0,071243315;0,07353787;0,076026312;0,083447179;0,09009318;0,093067788;0,103493573;0,115598548;0,14688359;0,153007926;0,158639522;0,165822317;0,190356095;0,193198585;0,195963691;0,198964146;0,238225236;0,267201067;0,271237501;0,281555112;0,284555788;0,288090601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;0;0,000749678;0,001766568;0,004786598;0,018792877;0,042945283;0,057673062;0,033881964;0,039452575;0,049670909;0,051917994;0,053820386;0,055756171;0,057769404;0,059743524;0,061876071;0,069004014;0,071097114;0,078031009;0,080170988;0,091197645;0,127700712;0,133198307;0,136758636;0,144434817;0,153792694;0,156013116;0,158246144;0,160689282;0,17351293;0,215035259;0,225150436;0,228982117;0,231261223;0,233850961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;0;0,000521832;0,001191786;0,00395041;0,012471418;0,040234813;0,02180391;0,027654965;0,032646475;0,036998984;0,046139506;0,047330455;0,048548894;0,049832161;0,051079009;0,052458015;0,058871549;0,060214633;0,066464193;0,067846329;0,074768153;0,081796826;0,086279476;0,087166634;0,09472595;0,10269882;0,103741294;0,104894456;0,106293122;0,106923307;0,108055789;0,109886751;0,111148607;0,112509167;0,114028898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
